Year,Jordan Amount_Emissions_CarbonDioxide_PerCapita,Jordan Count_Person
1990,2.784720103,3565888
1991,2.600722831,3760493
1992,2.999245538,3977667
1993,2.903684085,4201559
1994,2.945339799,4410357
1995,2.96371067,4588842
1996,2.930582178,4732848
1997,2.963781232,4848536
1998,2.957134694,4943975
1999,2.907534828,5031754
2000,3.176186604,5122495
2001,3.114621124,5217328
2002,3.172535294,5317514
2003,3.18547751,5434036
2004,3.329605285,5580241
2005,3.44627904,5765639
2006,3.366409389,5991547
2007,3.371546348,6255290
2008,3.051945799,6556473
2009,2.997131378,6893258
2010,2.781778794,7261541
2011,2.709171986,7662858
2012,2.98147233,8089963
2013,2.79375767,8518992
2014,2.864728014,8918822
2015,2.731322514,9266573
2016,2.597786972,9554286
2017,2.672228405,9785840
2018,2.486623181,9965322
2019,2.438204112,10101697
1960,,933102
1961,,973983
1962,,1010647
1963,,1050212
1964,,1102404
1965,,1173603
1966,,1267063
1967,,1378995
1968,,1500168
1969,,1617427
1970,,1721315
1971,,1809193
1972,,1883923
1973,,1948443
1974,,2007735
1975,,2065916
1976,,2123180
1977,,2179361
1978,,2237936
1979,,2303116
1980,,2377997
1981,,2464870
1982,,2563525
1983,,2671413
1984,,2784457
1985,,2900055
1986,,3015294
1987,,3131800
1988,,3256552
1989,,3399333
2020,,10203140
2021,,10269022
