Year,Jordan,Ajloon,Balqa,Aqaba,Karak,Amman,Tafiela,Irbid,Jarash,Ma'an,Madaba,Mafraq,Zarqa
1901,18.25,18.17,18.15,18.98,17.5,17.68,17.32,18.55,18.17,18.54,18.05,18.02,18.46
1902,17.78,17.67,17.65,18.5,17.01,17.18,16.84,18.04,17.67,18.05,17.55,17.58,17.96
1903,16.72,16.64,16.61,17.46,15.96,16.14,15.79,17.02,16.64,17.02,16.51,16.48,16.92
1904,17.31,17.23,17.21,18.07,16.57,16.72,16.4,17.61,17.23,17.61,17.12,17.05,17.49
1905,17.63,17.55,17.53,18.45,16.9,17.06,16.73,17.91,17.55,17.97,17.43,17.31,17.81
1906,17.94,17.83,17.82,18.85,17.23,17.37,17.09,18.17,17.83,18.34,17.75,17.53,18.09
1907,17.28,17.18,17.16,18.15,16.54,16.69,16.39,17.52,17.18,17.65,17.07,16.92,17.44
1908,17.44,17.32,17.32,18.35,16.71,16.87,16.57,17.65,17.32,17.84,17.26,17.03,17.59
1909,18.65,18.55,18.54,19.54,17.93,18.09,17.78,18.88,18.55,19.04,18.46,18.24,18.82
1910,17.51,17.4,17.38,18.35,16.75,16.91,16.58,17.76,17.4,17.85,17.29,17.2,17.66
1911,17.37,17.3,17.28,18.26,16.65,16.81,16.48,17.64,17.3,17.76,17.19,16.96,17.56
1912,17.63,17.48,17.48,18.41,16.86,17.02,16.7,17.87,17.48,17.94,17.41,17.39,17.77
1913,17.67,17.64,17.61,18.42,16.93,17.13,16.76,17.99,17.64,17.99,17.5,17.36,17.9
1914,18.16,18.08,18.06,18.97,17.42,17.59,17.27,18.43,18.08,18.5,17.96,17.85,18.34
1915,18.91,18.78,18.78,19.83,18.23,18.36,18.08,19.1,18.78,19.33,18.73,18.46,19.06
1916,19.06,18.94,18.95,19.92,18.35,18.5,18.19,19.3,18.94,19.42,18.89,18.69,19.22
1917,18.54,18.39,18.38,19.36,17.78,17.93,17.63,18.75,18.39,18.88,18.31,18.24,18.68
1918,18.44,18.36,18.34,19.24,17.7,17.87,17.54,18.71,18.36,18.77,18.25,18.14,18.62
1919,18.77,18.66,18.65,19.64,18.05,18.2,17.89,19.0,18.66,19.14,18.57,18.41,18.93
